5,49,0,260880160,30404,1042052,0,0,438169,13404,38596,64503,4,1,60,35,0
33,5,0,260371136,42964,1051892,0,0,222145,56828,444722,871974,35,9,38,18,0
27,5,0,259884192,58304,1069532,0,0,142362,68560,465906,983654,39,11,39,11,0
8,44,0,259409760,74104,1085432,0,0,143464,67744,464453,1000451,41,11,38,10,0
31,1,0,258952944,87704,1105376,0,0,118786,70793,488592,1038121,43,12,36,9,0
19,3,0,258518080,97360,1121312,0,0,127746,70412,505253,1028227,43,11,36,10,0
28,13,0,258092128,106524,1140124,0,0,112118,103196,444707,965217,42,11,37,11,0
36,3,0,257685040,115436,1157428,0,0,135901,67752,454377,988215,44,11,34,11,0
41,1,0,257251168,122288,1178008,0,0,108944,67000,486826,1071164,47,12,33,7,0
31,1,0,256848480,127372,1195252,0,0,132609,63300,456807,1007218,45,12,33,10,0
33,1,0,256435440,132988,1214928,0,0,97291,98164,449865,994507,44,12,36,9,0
23,14,0,256009984,136980,1234084,0,0,103928,65984,478460,1062412,47,12,34,7,0
29,6,0,255623360,140188,1253372,0,0,107703,71061,467162,1036800,47,12,33,8,0
35,3,0,255222096,143348,1272764,0,0,114215,73156,461111,1027298,47,12,32,9,0
51,2,0,254811168,146172,1292304,0,0,110884,74760,468201,1054182,49,13,30,8,0
28,6,0,254491856,147732,1309820,0,0,135615,112853,386679,865369,40,10,35,15,0
31,29,0,254098784,149468,1329096,0,0,111877,92596,452369,1006820,47,12,31,11,0
42,2,0,253724544,151228,1347724,0,0,121506,89237,439992,988096,46,12,31,11,0
27,28,0,253358224,152292,1365960,0,0,125289,91156,434635,972015,45,11,31,12,0
28,2,0,252992384,153628,1385104,0,0,123004,88561,439853,994080,46,12,30,12,0
46,8,0,252659696,154552,1403252,0,0,118846,115053,395350,886687,41,10,34,15,0
29,2,0,252278016,155240,1422848,0,0,108927,72072,459235,1039182,49,12,30,8,0
43,4,0,251889040,155852,1443100,0,0,108371,69604,460665,1044638,50,12,30,8,0
41,5,0,251502784,156364,1462652,0,0,85726,91448,452744,1024926,50,12,30,8,0
20,0,0,251138720,157040,1482156,0,0,101810,97156,435878,983754,48,11,31,10,0
37,0,0,250786640,157408,1499772,0,0,89756,112557,430691,968308,46,11,34,10,0
45,2,0,250409184,157732,1517668,0,0,108958,72060,460604,1035512,49,12,31,8,0
40,2,0,250032096,158208,1539464,0,0,106444,72316,459821,1040334,50,12,30,8,0
46,3,0,249653408,158532,1559720,0,0,90816,76288,473939,1074385,52,12,30,6,0
18,33,0,249316128,158820,1578448,0,0,97019,108001,421289,961458,46,12,33,9,0
