procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261284944  32204 1041432    0    1  1317  1913    0    1 25  5 64  6  0
16 35      0 260866208  32708 1045328    0    0 436821 10936 30873 52327  3  1 64 32  0
15  3      0 260342928  45388 1054696    0    0 223721 55540 440572 858721 34  9 39 17  0
36  3      0 259896160  60392 1072544    0    0 160112 71401 439557 932399 37 10 38 14  0
19  7      0 259462912  75300 1086296    0    0 146809 81957 435531 932119 37 11 37 14  0
51  0      0 259020592  89840 1105560    0    0 141541 79696 442479 952021 40 11 36 13  0
44  2      0 258607424 100252 1121504    0    0 144776 80657 439669 945013 40 11 36 13  0
31 30      0 258218752 107180 1139252    0    0 133877 112296 409419 878812 38 10 37 15  0
47  1      0 257817488 116004 1155856    0    0 141857 75937 434649 941480 40 11 35 13  0
41  1      0 257395264 123704 1174856    0    0 122593 63208 474986 1030864 44 12 35  9  0
12  5      0 256969568 130472 1193364    0    0 122440 61484 476193 1039331 46 12 33  9  0
27  8      0 256541152 134336 1213420    0    0 106932 64173 484204 1066835 48 12 32  7  0
13 39      0 256152784 138300 1232188    0    0 111397 98744 431789 952535 43 11 35 11  0
45  3      0 255737392 143192 1250932    0    0 102433 67388 479062 1067227 48 13 32  7  0
29  0      0 255335504 146768 1271536    0    0 113977 65100 459487 1030783 46 12 33  8  0
28  1      0 254937248 148196 1290676    0    0 114962 67116 460294 1037859 47 12 32  9  0
30  9      0 254561024 149828 1309676    0    0 91613 99800 444160 1009703 47 12 33  9  0
50  3      0 254163984 151420 1328716    0    0 113565 66421 451165 1014089 47 12 32  8  0
35  1      0 253779952 153200 1348548    0    0 109233 64008 451129 1025164 48 12 32  8  0
27 17      0 253386016 154700 1368316    0    0 110711 62300 456059 1032106 48 13 32  8  0
49  8      0 252986848 156424 1388944    0    0 95898 65544 479538 1071987 51 13 30  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  1      0 252630112 157912 1406620    0    0 101800 97696 445157 958755 46 12 32 10  0
24 16      0 252243840 158296 1427196    0    0 91763 64796 474527 1067717 51 13 30  6  0
35  5      0 251832416 158956 1448364    0    0 93546 65428 460730 1049244 51 13 31  6  0
26  3      0 251464176 159596 1467888    0    0 102138 90849 430341 978597 47 12 32  9  0
44  7      0 251128512 160264 1484480    0    0 78019 126380 411481 936774 46 11 33 10  0
36 19      0 250742624 160604 1505216    0    0 106716 73140 453209 1028650 48 12 32  8  0
39  7      0 250364800 160944 1524352    0    0 109011 70729 457408 1034548 49 12 31  8  0
50  3      0 249982384 161356 1545412    0    0 105008 77612 458892 1043681 49 12 30  8  0
34  3      0 249631552 161644 1563072    0    0 119874 73788 443783 1020023 49 12 29 10  0
36  5      0 249290560 161696 1582636    0    0 83742 113484 429379 994974 48 12 31  9  0
42  5      0 248924128 162120 1602588    0    0 103486 78404 456427 1045647 50 13 29  8  0
30  4      0 248558832 162216 1623776    0    0 110033 77697 442666 1020228 50 12 29  9  0
53  1      0 248205920 162268 1642168    0    0 100746 77332 448188 1032337 50 12 30  8  0
37  4      0 247850912 162476 1663328    0    0 107427 78052 444298 1031613 50 13 28  9  0
 1 41      0 247515968 162608 1682708    0    0 95803 113016 417609 974230 48 12 30 10  0
52  1      0 247165888 162640 1702976    0    0 101418 78625 443069 1028673 51 12 29  8  0
31  4      0 246795248 162700 1723352    0    0 106027 74236 444096 1036178 51 12 28  8  0
29  1      0 246450016 162768 1743516    0    0 101213 77772 443086 1029774 52 13 28  8  0
31  4      0 246090816 163268 1788076    0    0 108652 113840 418293 968512 48 11 31  9  0
19 33      0 245755424 163884 1820764    0    0 128823 76457 411074 980682 51 12 27 10  0
24 24      0 245433120 163928 1840824    0    0 110264 76228 435827 1026097 51 13 27  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
21  1      0 245082512 163964 1861728    0    0 110893 76736 423863 999903 51 12 28  9  0
34  3      0 244736512 163980 1882968    0    0 94701 79192 438184 1033372 52 13 27  8  0
49  5      0 244442624 164008 1900700    0    0 85393 129337 381063 894607 46 11 31 11  0
31  1      0 244114608 164040 1919856    0    0 93264 97224 420476 992156 52 12 27  9  0
37  3      0 243772576 164064 1939944    0    0 104729 75457 437933 1019651 51 12 28  8  0
39  3      0 243402528 164076 1960604    0    0 103467 73232 438176 1024477 51 13 29  7  0
41  8      0 243061904 164092 1982356    0    0 79877 71240 454231 1076906 54 13 27  5  0
52  2      0 242755984 164092 2000292    0    0 91437 109856 402871 945656 47 12 31 10  0
36 17      0 242394112 164092 2022416    0    0 94514 74088 438674 1044314 54 12 26  7  0
24 26      0 242082720 164120 2042808    0    0 110494 79981 409360 991986 53 13 26  9  0
14 38      0 241743168 164120 2062476    0    0 120603 80829 405072 954148 49 11 29 11  0
46  2      0 241450992 164128 2081636    0    0 84655 123536 398949 947139 49 11 30 10  0
47  6      0 241118992 164140 2100356    0    0 119912 84077 408407 970167 50 12 28 10  0
45  4      0 240798512 164164 2121948    0    0 90353 88996 434077 1034622 54 13 25  9  0
31 18      0 240447552 164168 2142232    0    0 106660 69833 424555 1025252 54 12 26  8  0
30  9      0 240134224 164176 2163636    0    0 84976 70256 414126 1001008 53 13 29  6  0
29  6      0 239837200 164180 2183660    0    0 74340 110796 401011 971866 52 12 29  8  0
51  4      0 239518528 164188 2205008    0    0 120633 66565 408294 982378 52 12 26  9  0
20 14      0 239188224 164188 2227064    0    0 75616 62520 444099 1073058 57 13 26  4  0
44  4      0 238847776 164188 2250788    0    0 76833 63868 449805 1093993 58 13 24  4  0
39  1      0 238566528 164196 2270308    0    0 65976 96796 409252 1003543 54 12 27  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
41  4      0 238240000 164208 2292696    0    0 68555 87452 422858 1052581 58 14 23  5  0
 0 50      0 237951200 164208 2312184    0    0 82544 92404 427878 1016432 56 12 25  7  0
40  2      0 237623664 164216 2334696    0    0 79482 70664 439170 1055190 56 13 25  5  0
50  4      0 237304096 164216 2355820    0    0 74949 68908 443705 1077649 57 13 25  4  0
35  4      0 237004144 164228 2377952    0    0 68068 104604 405836 995415 54 12 28  6  0
29  7      0 236698832 164228 2399196    0    0 70048 68488 438292 1082753 59 13 24  4  0
47  0      0 236381328 164228 2422028    0    0 70671 69480 438397 1089641 59 14 23  4  0
40  5      0 236079504 164228 2444428    0    0 70216 69356 437236 1078274 59 13 24  4  0
37  1      0 235781136 164228 2467704    0    0 64809 106268 405226 1001333 55 12 27  6  0
42  3      0 235475408 164236 2490224    0    0 68618 69392 434008 1080133 59 13 23  4  0
43  5      0 235162720 164236 2514068    0    0 68430 69352 429973 1084933 61 13 22  4  0
45  3      0 234867824 164236 2536368    0    0 66916 70132 430899 1070255 59 13 24  4  0
47  1      0 234591856 164236 2558256    0    0 60265 103980 394574 1000566 55 13 27  5  0
42  3      0 234303136 164236 2580392    0    0 65557 68388 430893 1092856 61 13 21  4  0
30  3      0 234008224 164236 2603744    0    0 72060 69220 423602 1065281 59 13 23  5  0
34  3      0 233727216 164244 2625552    0    0 79289 68424 416040 1059031 59 13 22  5  0
51  1      0 233455104 164248 2648476    0    0 58744 105804 393799 998804 56 12 26  6  0
40  9      0 233164784 164256 2671408    0    0 62070 71972 412550 1058201 60 13 23  4  0
45  3      0 232883696 164256 2692572    0    0 60404 90248 409712 1052512 61 13 21  5  0
52  1      0 232617728 164256 2714900    0    0 62964 81077 405204 1017808 59 13 24  5  0
34  3      0 232314656 164264 2739096    0    0 68997 62876 427142 1077803 60 13 23  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
52  2      0 232052224 164268 2758952    0    0 61754 99628 389013 989686 56 13 26  5  0
39  4      0 231754960 164268 2783812    0    0 63284 63272 418009 1080656 62 13 21  3  0
50  0      0 231480512 164268 2805860    0    0 62104 67664 418242 1093852 62 14 20  4  0
11 37      0 231113072 164272 2818096    0    0 287339 94609 203608 493180 30  6 41 24  0
51  3      0 230867360 164284 2834780    0    0 130219 136177 319794 781067 48  9 29 14  0
24 31      0 230636928 164288 2850604    0    0 137490 166062 275745 676521 42  8 34 16  0
39  3      0 230394976 164292 2868628    0    0 104214 115952 339242 858857 54 11 24 11  0
58  2      0 230179552 164296 2888728    0    0 112944 117558 329846 827309 52 10 25 13  0
15 37      0 229957696 164304 2906720    0    0 131900 101413 323274 826340 52 10 25 12  0
50  8      0 229688992 164312 2925944    0    0 126751 96620 320251 824152 52 10 26 12  0
48  1      0 229481328 164316 2945364    0    0 91714 109198 337775 893172 58 11 21 10  0
59  2      0 229286336 164316 2963120    0    0 99480 148820 299014 776995 50  9 32  9  0
46  3      0 229069872 164320 2984360    0    0 102109 104977 340014 880392 55 11 23 11  0
58  1      0 228815808 164324 2999904    0    0 153740 116769 300002 755332 47 10 27 16  0
 1 44      0 228679360 164332 3018952    0    0 146673 98185 299641 819994 53 10 23 14  0
53  3      0 228534368 164336 3041296    0    0 69722 99382 371941 982056 60 13 21  6  0
29  3      0 228592144 164376 3062140    0    0 92228 68684 392274 982206 53 12 28  7  0
46  2      0 228347968 164380 3081252    0    0 76640 142292 369095 905068 50 11 29 10  0
41  3      0 228070592 164384 3100948    0    0 128223 89822 376831 938021 51 12 26 11  0
29  4      0 227795808 164384 3124876    0    0 74962 71840 417527 1066449 58 14 23  4  0
47  2      0 227517168 164396 3147348    0    0 64436 99364 409937 1017266 56 13 26  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
50  3      0 227253632 164396 3169252    0    0 80320 85048 417330 1017410 57 13 24  7  0
47  1      0 226986384 164396 3191116    0    0 76965 70552 431341 1054834 59 13 23  5  0
41  0      0 226719136 164396 3216332    0    0 78423 72685 429240 1056131 59 13 22  5  0
14 34      0 226450672 164396 3238916    0    0 77174 76496 418500 1089434 61 14 21  4  0
50  1      0 226197536 164404 3262264    0    0 70908 70892 393724 1044724 59 13 22  6  0
44  2      0 225968464 164408 3281992    0    0 70116 112237 367139 971001 55 12 26  7  0
46  2      0 225697088 164408 3308204    0    0 60821 75616 411196 1095999 62 14 20  4  0
 2 27      0 225427616 164416 3331452    0    0 86217 72228 392046 1033067 60 13 22  6  0
 1 37      0 225205440 164416 3354140    0    0 86688 83756 370413 995829 57 13 22  8  0
