1,56,174.52,7056.79,3841.54,2698.65,516.59,926.33,0.00,0.00,5
2,56,2679.69,98189.85,56281.45,36549.02,5359.38,63.32,15.01,0.00,5
3,56,3168.01,121046.37,71772.22,42939.13,6335.02,39.65,15.00,0.00,5
4,56,3226.01,121358.35,70638.20,44270.13,6450.02,44.98,12.00,0.00,5
5,56,3378.14,121561.21,69352.98,45449.95,6758.29,36.89,13.00,0.00,5
6,56,3367.87,125515.12,72848.17,45931.21,6735.74,36.89,16.00,0.00,5
7,56,3228.16,120029.12,70509.59,43062.19,6457.33,51.02,17.00,0.00,5
8,56,3688.91,136561.82,79267.15,49916.84,7377.83,33.72,21.00,0.00,5
9,56,3771.15,135934.30,77951.04,50440.97,7542.29,33.12,20.00,0.00,5
10,56,3870.90,138979.39,79616.93,51620.66,7741.80,31.94,16.00,0.00,5
11,56,3841.05,143057.82,82617.05,52759.67,7681.10,31.94,23.00,0.00,5
12,56,3657.95,135070.16,78691.93,49061.33,7316.90,32.53,10.00,0.00,5
13,56,3879.02,146638.82,87092.49,51788.29,7758.04,31.94,12.00,0.00,5
14,56,4256.86,162159.69,95564.87,58081.10,8513.72,31.37,18.00,0.00,5
15,56,5080.18,187181.70,108479.89,68541.46,10160.36,28.16,27.00,0.00,5
16,56,4473.94,165942.85,96019.76,60975.21,8947.88,32.53,20.00,0.00,5
17,56,4746.13,180730.95,107131.93,64106.75,9492.26,31.37,17.00,0.00,5
18,56,4851.74,182491.10,106169.24,66618.38,9703.47,31.37,24.00,0.00,5
19,56,4964.06,187947.27,109571.32,68447.83,9928.12,29.19,30.00,0.00,5
20,56,4855.02,181710.81,105913.47,66087.29,9710.04,30.81,31.00,0.00,5
21,56,4563.14,169911.09,100015.00,60769.82,9126.27,31.37,23.00,0.00,5
22,56,5043.94,185072.92,108214.79,66772.25,10085.89,29.19,24.00,0.00,5
23,56,4755.96,176525.38,101938.07,65074.40,9512.91,31.94,23.00,0.00,5
24,56,5034.00,186355.91,109736.95,66549.97,10069.00,30.81,24.00,0.00,5
25,56,5179.10,191773.56,112672.09,68744.28,10357.19,29.72,22.00,0.00,5
26,56,4515.87,169568.22,99322.20,61213.28,9032.75,33.12,17.00,0.00,5
27,56,5134.06,192828.09,113961.23,68597.74,10269.11,31.37,18.00,0.00,5
28,56,4918.99,182705.64,106151.79,66716.87,9836.98,31.37,20.00,0.00,5
29,56,4854.00,179267.97,104423.98,65135.99,9708.00,32.53,22.00,0.00,5
30,56,4920.17,180530.11,104719.55,65970.23,9840.33,31.37,23.00,0.00,5
31,56,4388.79,163942.15,95005.45,60159.12,8777.58,31.94,19.00,0.00,5
