1,5,45,0,260877088,30944,1038508,0,0,432879,12528,20016,30562,2,1,65,32,0,5
2,43,3,0,260403936,40268,1050132,0,0,286902,54041,360917,692244,29,8,37,26,0,5
3,27,30,0,259952064,54592,1060172,0,0,152537,76824,445909,935622,36,10,40,13,0,5
4,33,2,0,259489056,69304,1076948,0,0,144492,78177,443427,950170,39,11,37,13,0,5
5,40,6,0,259024432,84052,1097792,0,0,146055,82072,437923,940591,39,10,38,13,0,5
6,28,8,0,258603200,97164,1114944,0,0,142947,81125,440765,949765,40,11,36,13,0,5
7,38,2,0,258243360,103936,1127640,0,0,135520,108149,413227,890631,38,9,37,16,0,5
8,38,15,0,257801920,113152,1146704,0,0,126331,65012,475032,1031202,44,12,35,9,0,5
9,34,1,0,257357120,121836,1168240,0,0,126316,60956,471346,1025687,44,12,35,9,0,5
10,8,0,0,256923120,129312,1188100,0,0,108332,65388,481127,1056975,47,12,34,7,0,5
11,34,7,0,256524224,134800,1201172,0,0,120230,64824,465569,1025094,46,12,34,9,0,5
12,34,11,0,256131264,138576,1222020,0,0,97567,98952,437883,968746,43,11,36,10,0,5
13,28,11,0,255707552,143624,1244596,0,0,115743,65777,472143,1050324,47,13,32,8,0,5
14,40,7,0,255348320,146080,1265252,0,0,121504,66612,462312,1054838,51,13,27,8,0,5
15,41,4,0,255206336,147656,1284632,0,0,125132,69028,409423,1071269,62,14,16,8,0,5
16,39,9,0,255137888,150232,1308572,0,0,131602,103140,370112,968561,56,12,20,12,0,5
17,43,8,0,255053376,154000,1338944,0,0,128516,66384,395595,1047775,62,14,17,8,0,5
18,42,3,0,255001296,155844,1362624,0,0,154158,61676,389921,1016707,59,13,18,10,0,5
19,31,20,0,254957040,157112,1381292,0,0,124248,64988,406758,1077845,64,14,16,7,0,5
20,43,6,0,254890688,158400,1411620,0,0,138851,62461,399224,1045667,61,13,18,8,0,5
21,46,3,0,254843200,159216,1433660,0,0,115571,107920,384780,971010,56,12,22,10,0,5
22,56,5,0,254771392,159512,1457828,0,0,123061,77444,408626,1049599,64,13,15,8,0,5
23,54,4,0,254724160,159516,1477264,0,0,124116,89276,381664,1016843,64,13,13,10,0,5
24,52,6,0,254664832,159992,1505392,0,0,145930,67985,362953,1003270,62,13,16,10,0,5
25,54,5,0,254612240,160800,1530588,0,0,135923,63228,385948,1072738,65,14,13,7,0,5
26,48,8,0,254570688,161192,1553028,0,0,119550,108100,350401,965641,59,12,20,9,0,5
