procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261284224  32312 1041980    0    1  1317  1912    0    0 25  5 64  6  0
 0 28      0 260840656  32692 1043408    0    0 480479 11420 19668 30882  2  1 62 34  0
26  3      0 260431712  40808 1053456    0    0 296995 41041 325154 613196 27  7 39 27  0
44 13      0 259961504  55516 1068684    0    0 153576 76072 463942 947277 36 10 39 14  0
 5 41      0 259510384  70480 1085284    0    0 144599 80085 449470 962760 40 11 37 12  0
19 24      0 259071056  85064 1101548    0    0 143772 80224 437130 936891 39 10 37 14  0
22 30      0 258628752  98520 1118616    0    0 144573 80665 446285 958784 40 11 35 13  0
45  5      0 258254544 105156 1134208    0    0 129915 111456 403886 871799 37  9 38 16  0
24  1      0 257834560 113076 1152408    0    0 130447 69557 457686 988020 43 11 35 12  0
26  0      0 257415568 120312 1170708    0    0 138739 61300 456949 994562 43 11 35 11  0
21 19      0 256987024 128692 1189924    0    0 106294 61668 486771 1068393 46 13 34  7  0
16 14      0 256565056 133376 1208996    0    0 123183 63537 470422 1032284 46 12 34  8  0
47  3      0 256168864 138104 1227288    0    0 97135 99788 449140 990547 44 11 35 10  0
41  3      0 255755328 142648 1246476    0    0 117197 65588 468966 1040584 47 12 33  9  0
19  9      0 255341408 147056 1266360    0    0 100843 68040 482621 1066953 48 13 32  7  0
34  2      0 254939648 149516 1285908    0    0 115139 66560 463373 1033269 48 12 32  9  0
26  5      0 254538400 151776 1306488    0    0 114589 66061 466608 1042160 48 12 32  8  0
39  6      0 254160192 154140 1324336    0    0 91909 99924 439559 989033 46 12 34  9  0
28 10      0 253772816 155524 1343456    0    0 127765 62124 451455 1016619 46 13 31 10  0
36 20      0 253359648 156752 1364344    0    0 98996 66400 470272 1060861 49 13 31  7  0
40  2      0 252969296 158332 1384240    0    0 110764 62828 459334 1047419 49 13 30  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
17  9      0 252599904 159708 1403440    0    0 87835 99424 431418 976463 46 12 34  8  0
26  5      0 252204096 160276 1424136    0    0 94355 66192 470608 1070072 51 13 30  6  0
34  2      0 251818704 160672 1444400    0    0 108989 64476 458495 1042102 49 13 30  8  0
47  8      0 251429952 161092 1463760    0    0 86971 81965 450978 1020903 50 12 31  7  0
 1 31      0 251067264 161848 1482736    0    0 84668 118180 430955 978182 48 12 31  9  0
47  1      0 250709520 161984 1501328    0    0 99464 77352 426560 964085 46 11 34  9  0
26  3      0 250339904 162228 1520804    0    0 107095 69281 451768 1027283 48 12 31  8  0
28  4      0 249968896 162360 1540088    0    0 118689 67800 446677 1014893 48 12 31  9  0
37  6      0 249593280 162436 1559572    0    0 109519 68848 443548 1016400 49 12 31  9  0
40  0      0 249258576 162444 1577812    0    0 95715 106972 424523 972349 47 11 32 10  0
24  3      0 248904416 162608 1598144    0    0 114454 71673 443805 1017365 49 12 29 10  0
26  5      0 248540336 162652 1618800    0    0 101886 73596 445618 1020446 49 12 30  8  0
60  1      0 248170080 162748 1638868    0    0 107902 71976 446291 1030840 51 12 28  8  0
49  2      0 247799648 162748 1660024    0    0 86674 73868 464517 1082530 54 13 27  6  0
51  4      0 247491104 162764 1677680    0    0 108414 104145 391825 899629 44 11 35 11  0
54  1      0 247121120 162772 1697528    0    0 104659 70296 440479 1028110 51 12 29  8  0
46  1      0 246767360 162784 1718364    0    0 87579 74416 457970 1072098 53 13 27  7  0
45  2      0 246416928 162784 1738788    0    0 98872 71980 446960 1037846 52 12 28  8  0
16  7      0 246073264 162792 1752832    0    0 133005 102489 365191 877344 46 11 29 14  0
41  1      0 245726544 162992 1778168    0    0 113871 69756 411762 975608 51 11 28  9  0
37 16      0 245366784 163000 1799596    0    0 82834 73576 454102 1061504 53 13 28  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42 13      0 245019168 163000 1820100    0    0 104263 72824 436710 1017161 51 13 28  9  0
46  5      0 244684672 163000 1840220    0    0 94518 72292 447228 1058924 54 13 26  7  0
42  2      0 244359744 163120 1858728    0    0 89135 127465 390129 903105 46 11 32 12  0
31  1      0 244023392 163120 1877828    0    0 91041 96936 437083 986967 50 12 29  9  0
