procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261276752  31684 1044660    0    1  1317  1915    1    0 25  5 65  6  0
 1 43      0 260839488  32068 1048912    0    0 447444  7933 19741 31193  2  1 63 34  0
28 12      0 260451744  41004 1051444    0    0 286516 60232 347340 662872 27  7 38 27  0
37  5      0 259972352  55204 1074060    0    0 151040 79497 447961 938516 38 11 38 14  0
22 23      0 259544928  69816 1084800    0    0 148251 79921 444268 950170 39 11 37 14  0
36 23      0 259100640  84240 1105432    0    0 146914 80016 435737 936857 39 10 36 14  0
27  3      0 258691200  97428 1119624    0    0 142675 80501 441826 953328 40 11 36 13  0
46  3      0 258294768 105328 1139008    0    0 124012 99892 427424 928474 40 10 37 12  0
33  3      0 257879744 114308 1154036    0    0 139475 60428 465865 1015086 43 12 35 10  0
36  3      0 257437792 122244 1175412    0    0 109484 63472 481818 1056733 46 13 34  7  0
24  3      0 257014720 130288 1193536    0    0 124456 64993 468553 1024672 46 12 34  9  0
54  2      0 256586656 133892 1214776    0    0 105829 66828 477098 1055481 48 12 33  7  0
44  6      0 256207472 137700 1231728    0    0 110022 98004 432176 955164 42 11 35 11  0
17  4      0 255786992 142540 1251676    0    0 101976 65892 479638 1065233 47 12 33  7  0
43  6      0 255385104 146456 1270652    0    0 116684 66056 458869 1019041 46 12 33  9  0
32  2      0 254977520 148680 1291908    0    0 115471 65845 458112 1021439 46 12 33  9  0
41  0      0 254610720 150572 1309688    0    0 90995 100532 438969 986951 45 11 34 10  0
43  1      0 254218880 152172 1329604    0    0 126430 62244 449864 1010379 46 12 32  9  0
52  2      0 253816624 154808 1348740    0    0 96828 64916 472946 1066363 49 13 31  6  0
47  1      0 253419088 155772 1370408    0    0 112402 63156 464440 1049558 49 12 31  8  0
37  3      0 253018560 156184 1389260    0    0 96729 65632 473720 1071163 50 13 30  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
46  7      0 252652768 157996 1409720    0    0 86664 98576 438187 989929 48 12 32  9  0
52  2      0 252269728 158160 1429508    0    0 107724 64392 460779 1045644 50 12 30  8  0
24  2      0 251881232 158888 1450616    0    0 92856 65521 469563 1067180 51 14 30  6  0
33  2      0 251494480 159808 1469300    0    0 85470 84688 446877 1010569 49 13 31  7  0
40  1      0 251155344 159968 1487356    0    0 87314 123736 404219 916345 45 11 33 11  0
50  1      0 250761520 160344 1506236    0    0 110747 69549 450392 1012510 47 12 33  8  0
35  4      0 250377248 160956 1525876    0    0 105681 68664 462593 1043003 48 12 32  8  0
30  7      0 249986272 161096 1545536    0    0 123567 64768 437360 993465 47 12 32 10  0
