procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261283520  32516 1040908    0    1  1318  1912    0    0 25  5 64  6  0
22 23      0 260833776  33036 1044640    0    0 450538 12793 30001 49106  3  1 64 32  0
27  4      0 260373616  45400 1052360    0    0 240294 48692 438177 852973 34 10 37 19  0
16 28      0 259859136  61976 1072576    0    0 128489 59672 484006 1022862 40 12 39  8  0
18  6      0 259408400  77912 1086176    0    0 135231 62484 470465 1010632 41 11 38 10  0
31  3      0 258932112  94580 1108728    0    0 119090 64820 486294 1047693 43 12 37  8  0
 1 28      0 258509760 105808 1125312    0    0 124354 87613 457697 988320 41 11 37 11  0
42  4      0 258089040 116048 1142908    0    0 123713 72880 460203 997602 43 11 37  9  0
46 12      0 257645488 124012 1161484    0    0 111735 66848 482190 1046124 45 12 36  8  0
34  2      0 257222144 132224 1181580    0    0 122808 64456 480897 1055550 45 13 33  9  0
32  4      0 256810224 136292 1199584    0    0 120662 64220 473382 1045776 46 12 34  9  0
50  2      0 256422592 139740 1217812    0    0 111831 92848 438841 964729 43 11 36 10  0
33  4      0 256007696 145092 1236124    0    0 118476 62501 469537 1035413 47 12 33  8  0
48  4      0 255586336 147900 1258188    0    0 103048 64516 486147 1086540 49 13 32  7  0
33  6      0 255170208 149972 1276568    0    0 103428 65252 485896 1081980 48 13 32  7  0
18 21      0 254770800 151380 1295876    0    0 113231 63152 465237 1042356 48 12 32  8  0
42  1      0 254394464 153068 1314680    0    0 93412 96360 448791 1010791 47 12 33  9  0
35  9      0 253988480 154940 1335944    0    0 96928 64344 476893 1074669 49 13 32  6  0
37  2      0 253596272 156264 1354808    0    0 104518 64744 480791 1061716 49 13 31  7  0
40  5      0 253212896 157064 1376512    0    0 109431 65913 484336 1035217 49 12 31  8  0
50  1      0 252861776 157984 1392940    0    0 99276 102344 428719 956441 45 11 34 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
39  0      0 252488512 158332 1414648    0    0 126696 70048 437379 990759 47 12 31 10  0
36  2      0 252111056 159136 1433244    0    0 107599 72052 461234 1047387 50 13 29  8  0
33  6      0 251725024 160176 1452412    0    0 113528 80337 436241 984544 47 12 32 10  0
40  1      0 251356256 161088 1471768    0    0 100354 93112 434711 988731 48 12 30 10  0
 9  0      0 251034784 161524 1489488    0    0 105188 124041 392213 890391 43 11 33 14  0
37  3      0 250637232 161544 1508572    0    0 96386 73116 474650 1073874 50 13 30  7  0
36  1      0 250274272 162032 1528316    0    0 107982 71840 454856 1031818 48 12 31  9  0
40  3      0 249899600 162104 1548672    0    0 105169 71972 461255 1048977 51 12 29  8  0
 2 20      0 249535456 162104 1567492    0    0 109341 104504 413946 954306 46 11 31 11  0
45  3      0 249171344 162448 1587404    0    0 105497 72613 449775 1024985 49 12 31  9  0
36 20      0 248808144 162696 1608020    0    0 122766 70516 434376 1000454 49 12 28 11  0
38  5      0 248472288 162768 1626928    0    0 119203 70124 437623 1018785 50 12 28 10  0
39  3      0 248098752 162768 1648420    0    0 90280 75061 464718 1068545 52 13 28  7  0
48  2      0 247770752 162812 1666076    0    0 105005 106656 414068 948904 47 11 33 10  0
43 12      0 247409760 163200 1687412    0    0 99942 71252 458250 1055056 51 12 29  8  0
39  3      0 247061184 163212 1706388    0    0 102244 73852 450642 1036451 50 12 29  9  0
42  0      0 246703536 163212 1728648    0    0 102428 72224 448732 1044644 52 13 28  7  0
53  0      0 246359040 163212 1748088    0    0 99371 73461 453167 1053246 53 12 27  8  0
33  4      0 246016880 163284 1767736    0    0 96365 104876 417593 972139 48 12 30 10  0
52  4      0 245680896 163288 1786400    0    0 97914 71456 448142 1042223 52 12 28  8  0
19  0      0 245316256 163296 1810652    0    0 83369 75176 459222 1068848 54 14 27  6  0
