procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  1      0 261312688  29860 1037668    0    1  1324  1910    1    0 25  5 64  6  0
 2 53      0 260871648  30284 1039772    0    0 464548 12573 21400 32807  3  1 59 38  0
30 22      0 260400576  41796 1052340    0    0 235718 50380 412238 800807 32  9 39 20  0
21 18      0 259900112  57340 1068560    0    0 147217 61016 464719 980705 39 10 40 11  0
45  2      0 259446400  73264 1085620    0    0 137531 63972 458590 986991 40 11 38 11  0
31  4      0 258983008  89468 1103644    0    0 118537 64252 482383 1038391 43 12 37  8  0
16  1      0 258558560  99536 1122136    0    0 146725 61801 443421 960721 40 11 37 12  0
35  7      0 258144896 109028 1139032    0    0 107616 93432 460088 1000156 43 11 36 10  0
32  5      0 257717712 116576 1157844    0    0 122935 60044 476332 1040187 43 12 36  9  0
20  5      0 257284832 125788 1177148    0    0 124696 60716 471148 1030150 45 12 34  9  0
 4  0      0 256828768 130736 1197036    0    0 108560 61024 484678 1067011 46 12 34  7  0
50  2      0 256454240 134376 1214980    0    0 105338 95832 435940 961004 42 11 37 10  0
32  3      0 256049216 141332 1234564    0    0 116614 61704 450817 1003606 46 12 33  8  0
25  5      0 255619008 145968 1254048    0    0 119186 69032 459142 1016952 47 12 32  9  0
47  3      0 255238080 148376 1273448    0    0 122214 72209 451091 1019396 47 12 31 10  0
46  4      0 254871312 149868 1291596    0    0 142495 82393 427676 953283 43 11 33 13  0
40  6      0 254518032 153316 1309196    0    0 99000 118460 422864 947631 44 11 34 12  0
32 14      0 254138256 155752 1327860    0    0 126313 84069 438561 980765 45 12 31 12  0
43  3      0 253767120 157168 1346628    0    0 125502 82936 442738 990723 46 12 31 11  0
53  3      0 253395120 157576 1365100    0    0 129274 84253 434301 977675 45 12 32 12  0
36  2      0 253004640 158580 1385136    0    0 112064 67404 456017 1036663 49 12 30  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
43  5      0 252642816 159060 1402948    0    0 116263 97692 411710 930764 44 10 35 11  0
10  4      0 252249120 160336 1423280    0    0 94115 66900 476407 1084410 51 13 29  6  0
49  4      0 251848960 160552 1443460    0    0 109137 66273 461882 1050966 49 13 30  8  0
34  6      0 251453344 161512 1465728    0    0 89058 88124 444567 1001255 49 12 31  8  0
42  6      0 251078688 162504 1514384    0    0 125176 128012 389255 875298 43 10 34 13  0
30  3      0 250700368 162800 1538792    0    0 102132 72933 466365 1053045 49 12 31  8  0
55  7      0 250321184 163272 1558764    0    0 108777 68392 458960 1038464 49 12 31  8  0
46  4      0 249951152 163348 1578608    0    0 106211 68000 460974 1049406 50 12 31  7  0
33  5      0 249583968 163660 1599764    0    0 92329 69420 466561 1076290 53 13 28  6  0
24 21      0 249371536 163744 1621940    0    0 112944 97884 363490 967421 56 13 22 10  0
43  3      0 249282912 163744 1646816    0    0 124096 61564 371274 1051856 64 13 15  8  0
48  7      0 249219488 163744 1672008    0    0 125427 61613 380188 1048032 63 13 16  8  0
55  3      0 249153104 163752 1697924    0    0 111082 63612 383683 1077673 65 14 14  6  0
49  7      0 249097408 163804 1722868    0    0 109422 62628 386335 1093020 66 14 14  6  0
55  3      0 249048176 163928 1745616    0    0 97067 110064 350290 973961 59 12 20  9  0
45  5      0 248998656 163964 1770448    0    0 123482 61896 379343 1046834 63 13 16  8  0
60  3      0 248944480 164012 1796032    0    0 110028 63360 389039 1091646 65 14 14  6  0
48  7      0 248895200 164020 1821388    0    0 110388 63260 406374 1082553 65 14 15  6  0
58  4      0 248844960 164108 1846208    0    0 116398 64648 410884 1069608 64 14 15  7  0
57  3      0 248778688 164108 1868184    0    0 109415 111845 338588 925956 56 12 23 10  0
24 21      0 248692480 164132 1891388    0    0 130821 81596 358461 987066 60 13 16 11  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
48  8      0 248618272 164176 1914364    0    0 119545 97872 344136 967507 61 12 15 12  0
41 12      0 248574944 164200 1937148    0    0 122890 81813 359683 996280 62 12 16 10  0
34 11      0 248504496 164200 1961672    0    0 134159 71480 369535 1018343 62 13 16  9  0
48  6      0 248461584 164204 1983712    0    0 100998 125168 340540 941039 57 12 20 10  0
33 19      0 248415408 164232 2007612    0    0 122515 72912 371408 1051001 64 13 15  8  0
57  1      0 248362400 164236 2031712    0    0 128442 74037 368131 1012199 62 12 16 10  0
44  5      0 248316368 164244 2056400    0    0 108682 76752 382628 1067835 65 14 14  7  0
33 16      0 248269584 164256 2079700    0    0 135655 71684 358488 993961 60 13 17 10  0
47  1      0 248228160 164260 2101504    0    0 95441 121936 344925 964252 59 12 20  9  0
45  7      0 248177984 164260 2125460    0    0 124856 74080 371467 1019892 62 13 16  9  0
55  7      0 248133680 164260 2149068    0    0 121366 68493 370331 1027260 62 14 16  9  0
53  3      0 248058112 164264 2173120    0    0 125830 76124 371826 1018531 62 13 16  9  0
13 32      0 248008224 164288 2195992    0    0 136120 70244 365686 992403 61 12 17 10  0
51  3      0 247959312 164288 2220496    0    0 121891 72916 369822 1010661 62 13 16  8  0
31 11      0 247910032 164296 2241456    0    0 117401 120165 328447 893050 54 11 23 12  0
36 21      0 247869152 164296 2265592    0    0 122197 75380 378904 1027890 62 13 16  9  0
60  6      0 247824592 164308 2288136    0    0 118837 86632 355332 999182 62 12 15 10  0
55  4      0 247759616 164316 2311148    0    0 116857 94344 346249 970531 62 12 15 11  0
51  3      0 247708112 164320 2335220    0    0 114232 74253 369027 1034558 65 13 14  8  0
50  4      0 247669904 164324 2356584    0    0 114895 115736 323781 892099 55 11 21 12  0
