procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261291920  30552 1034980    0    1  1328  1909    0    0 26  5 63  6  0
 5 45      0 260877088  30944 1038508    0    0 432879 12528 20016 30562  2  1 65 32  0
43  3      0 260403936  40268 1050132    0    0 286902 54041 360917 692244 29  8 37 26  0
27 30      0 259952064  54592 1060172    0    0 152537 76824 445909 935622 36 10 40 13  0
33  2      0 259489056  69304 1076948    0    0 144492 78177 443427 950170 39 11 37 13  0
40  6      0 259024432  84052 1097792    0    0 146055 82072 437923 940591 39 10 38 13  0
28  8      0 258603200  97164 1114944    0    0 142947 81125 440765 949765 40 11 36 13  0
38  2      0 258243360 103936 1127640    0    0 135520 108149 413227 890631 38  9 37 16  0
38 15      0 257801920 113152 1146704    0    0 126331 65012 475032 1031202 44 12 35  9  0
34  1      0 257357120 121836 1168240    0    0 126316 60956 471346 1025687 44 12 35  9  0
 8  0      0 256923120 129312 1188100    0    0 108332 65388 481127 1056975 47 12 34  7  0
34  7      0 256524224 134800 1201172    0    0 120230 64824 465569 1025094 46 12 34  9  0
34 11      0 256131264 138576 1222020    0    0 97567 98952 437883 968746 43 11 36 10  0
28 11      0 255707552 143624 1244596    0    0 115743 65777 472143 1050324 47 13 32  8  0
40  7      0 255348320 146080 1265252    0    0 121504 66612 462312 1054838 51 13 27  8  0
41  4      0 255206336 147656 1284632    0    0 125132 69028 409423 1071269 62 14 16  8  0
39  9      0 255137888 150232 1308572    0    0 131602 103140 370112 968561 56 12 20 12  0
43  8      0 255053376 154000 1338944    0    0 128516 66384 395595 1047775 62 14 17  8  0
42  3      0 255001296 155844 1362624    0    0 154158 61676 389921 1016707 59 13 18 10  0
31 20      0 254957040 157112 1381292    0    0 124248 64988 406758 1077845 64 14 16  7  0
43  6      0 254890688 158400 1411620    0    0 138851 62461 399224 1045667 61 13 18  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
46  3      0 254843200 159216 1433660    0    0 115571 107920 384780 971010 56 12 22 10  0
56  5      0 254771392 159512 1457828    0    0 123061 77444 408626 1049599 64 13 15  8  0
54  4      0 254724160 159516 1477264    0    0 124116 89276 381664 1016843 64 13 13 10  0
52  6      0 254664832 159992 1505392    0    0 145930 67985 362953 1003270 62 13 16 10  0
54  5      0 254612240 160800 1530588    0    0 135923 63228 385948 1072738 65 14 13  7  0
48  8      0 254570688 161192 1553028    0    0 119550 108100 350401 965641 59 12 20  9  0
57  4      0 254520224 161448 1577412    0    0 138656 62416 382387 1060017 64 14 14  8  0
49  5      0 254473808 161616 1601712    0    0 145578 65336 378247 1027662 62 14 15 10  0
51  6      0 254423072 161832 1625256    0    0 153853 65764 371926 1008647 60 13 16 11  0
29 16      0 254352128 162160 1648880    0    0 146893 67289 376640 1018103 61 13 16 10  0
51  4      0 254310208 162416 1670536    0    0 129694 113900 342660 928649 56 12 21 11  0
30 20      0 254276480 162452 1693792    0    0 146933 69664 376712 1021885 61 13 15 11  0
48  7      0 254230640 162604 1717916    0    0 126928 70084 387141 1052960 63 14 15  8  0
52  6      0 254186720 162708 1741900    0    0 140803 69212 381428 1023228 62 13 15  9  0
56  3      0 254117792 162732 1765372    0    0 148639 66909 374533 1007733 60 13 16 10  0
44  1      0 254080144 162732 1787620    0    0 112965 114328 356029 956093 57 12 20 10  0
41  5      0 254035024 162736 1810860    0    0 156300 66664 371541 989255 59 13 16 11  0
 1 42      0 253967776 162888 1834424    0    0 151270 68840 386418 1052507 63 14 14  9  0
47  8      0 253908896 162904 1851880    0    0 120694 83773 355697 962930 60 13 16 11  0
54  8      0 253852192 162908 1879788    0    0 134559 94268 353853 970749 61 13 14 12  0
48  3      0 253786384 162912 1901636    0    0 165405 70373 346677 938537 57 12 18 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
50  5      0 253721744 162912 1922280    0    0 134757 114184 336951 910947 55 11 21 12  0
42  5      0 253671632 162912 1945904    0    0 143868 66968 376594 1023650 62 13 15 10  0
52  3      0 253610192 162916 1969136    0    0 152046 66528 367408 998175 61 13 16 10  0
54  2      0 253571968 162924 1992548    0    0 141947 67680 373480 1027464 63 14 14  9  0
44  3      0 253529488 162924 2015884    0    0 143849 67213 370967 1012559 62 13 15 10  0
52  5      0 253473504 162928 2036960    0    0 130885 112888 337652 918060 56 12 20 13  0
 8 42      0 253428832 162932 2060676    0    0 144898 69228 378473 1038512 63 14 14  9  0
42  7      0 253388240 162932 2084536    0    0 126310 67696 376435 1036012 64 13 14  8  0
50  6      0 253365616 162940 2107444    0    0 144445 66752 380939 999765 60 13 15 12  0
41  8      0 253323184 162988 2130300    0    0 140438 67217 382516 994483 60 13 16 12  0
50  4      0 253285120 162996 2151812    0    0 115658 115360 350384 939114 57 12 20 11  0
35  5      0 253222928 163000 2173564    0    0 171840 71808 352809 925892 56 12 17 14  0
36  7      0 253182496 163016 2195184    0    0 153215 78097 364345 965039 58 12 17 12  0
51  6      0 253145024 163024 2216900    0    0 146974 79681 361660 972932 58 13 16 12  0
35  4      0 253094720 163256 2238840    0    0 157023 84724 352820 926492 56 12 18 13  0
53  6      0 253056736 163260 2260260    0    0 138718 104857 342082 927442 59 12 15 15  0
15 42      0 252987616 163264 2278660    0    0 139878 138841 294936 796466 50 10 24 15  0
53  6      0 252946320 163264 2302144    0    0 146210 64224 370621 1022159 64 13 14  9  0
53  8      0 252902752 163284 2325648    0    0 138662 66156 381616 1045167 64 14 14  8  0
47  4      0 252861392 163284 2349696    0    0 140764 67352 375940 1025408 64 13 14  9  0
41 12      0 252807904 163288 2371944    0    0 162066 58013 358395 979695 60 13 15 12  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
43  8      0 252768192 163288 2393880    0    0 118486 101716 346177 955120 59 12 20  8  0
56  5      0 252727232 163288 2418156    0    0 129350 55588 382697 1067854 67 14 13  6  0
47  7      0 252687264 163288 2442720    0    0 130215 56860 393365 1031262 65 13 15  7  0
59  7      0 252646816 163296 2467236    0    0 131676 57608 402447 1057873 67 13 14  7  0
52 10      0 252606976 163296 2491596    0    0 128021 57688 382002 1063777 66 14 13  7  0
52  7      0 252572336 163296 2512840    0    0 130452 99184 338155 921665 57 12 20 11  0
45  3      0 252531872 163296 2537144    0    0 131069 57492 386824 1056788 65 14 14  7  0
61  1      0 252489696 163296 2561656    0    0 131550 57860 386783 1061273 66 14 14  7  0
20 19      0 252446880 163304 2586700    0    0 130788 58140 387136 1047061 66 13 14  7  0
54  4      0 252405872 163304 2610892    0    0 129804 58512 386475 1058642 65 14 14  6  0
48  4      0 252359040 163316 2632508    0    0 114566 105324 350005 945695 59 12 19 10  0
53  3      0 252321088 163316 2656196    0    0 126515 80556 355898 1001552 65 13 13  9  0
50  0      0 252279984 163328 2679316    0    0 126921 75856 352402 994296 65 13 13  9  0
44  6      0 252239248 163336 2703276    0    0 138376 54728 387027 1056253 65 14 13  7  0
50  6      0 252199136 163336 2727220    0    0 133080 56868 380644 1050842 66 13 13  7  0
49  5      0 252155568 163340 2747880    0    0 118335 99788 332629 918043 59 12 20  8  0
53  1      0 252118368 163340 2772420    0    0 133892 55640 376846 1056766 67 14 13  7  0
28 32      0 252077552 163340 2796868    0    0 133986 57072 379933 1048556 66 14 13  7  0
57  4      0 252038304 163348 2820908    0    0 138679 54776 378027 1038915 65 13 14  8  0
53  7      0 251998432 163348 2844124    0    0 142794 54764 365509 1022690 65 13 14  8  0
53  5      0 251961072 163348 2866304    0    0 118154 102168 345105 946391 60 12 18 10  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
63  4      0 251918352 163348 2890268    0    0 131431 56480 378236 1065456 67 14 13  6  0
49  6      0 251878144 163348 2914868    0    0 130647 56864 384964 1048292 66 14 14  6  0
40  4      0 251836064 163356 2939360    0    0 133604 56564 383556 1046968 66 14 14  7  0
60  3      0 251794976 163356 2963704    0    0 131704 56944 384662 1053822 66 14 14  7  0
55  2      0 251757840 163360 2985344    0    0 118222 101825 348901 955011 59 12 19 10  0
59  1      0 251716624 163360 3009288    0    0 129393 56392 384345 1051409 66 13 14  6  0
55  5      0 251933056 163368 3032120    0    0 123926 66932 359746 985818 63 13 17  8  0
 0 36      0 251742832 163372 3046772    0    0 288543 63216 227252 628609 41  8 26 26  0
19 37      0 251644528 163384 3060924    0    0 180855 145233 229899 587316 43  7 25 25  0
40  5      0 251561216 163388 3077088    0    0 196602 128098 260697 677252 47  8 22 24  0
45  5      0 251487056 163392 3091620    0    0 167546 169409 234056 603544 42  7 27 24  0
61  3      0 251435552 163396 3110000    0    0 163409 108025 292898 800537 56 10 16 19  0
52  5      0 251413072 163404 3129436    0    0 152106 106477 299345 821817 57 10 16 17  0
15 43      0 251366752 163412 3147824    0    0 180670 97425 283966 781152 55 10 18 18  0
 3 43      0 251275584 163416 3165524    0    0 194786 90716 274218 749750 53 10 20 18  0
49  8      0 251229136 163420 3185888    0    0 134892 100898 317609 878763 61 11 15 13  0
59  5      0 251145952 163420 3202132    0    0 200707 89824 261653 726750 50  9 21 20  0
59  6      0 251114560 163424 3220100    0    0 117925 153161 282694 772299 54  9 21 15  0
14 43      0 251062160 163436 3235984    0    0 192644 108349 263050 702386 48  9 21 22  0
53  5      0 251123264 163436 3251864    0    0 214734 105710 258085 658418 44  9 24 24  0
49  8      0 251180384 163472 3272088    0    0 169533 74473 337691 889210 55 12 19 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
