procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 261272912  32916 1044020    0    1  1317  1914    0    0 25  5 64  6  0
 1 51      0 260860960  33340 1046500    0    0 476341 13113 22048 34228  2  1 64 34  0
30  4      0 260415952  43404 1058060    0    0 262605 67729 377467 727355 29  8 39 24  0
29  2      0 259953184  57572 1072780    0    0 150541 80688 440568 923765 36 10 39 14  0
21  3      0 259518304  72060 1088804    0    0 146757 79549 435215 934289 38 11 38 13  0
48  1      0 259086416  86928 1105412    0    0 146692 81288 441263 946592 40 11 36 13  0
47  2      0 258665936  99372 1122568    0    0 145257 76501 440149 949388 40 10 36 13  0
30  2      0 258268512 105452 1138632    0    0 117415 95456 434915 943617 40 11 38 12  0
36 13      0 257842080 114004 1157560    0    0 124721 60288 471040 1026488 43 12 36  9  0
43 17      0 257412912 122436 1176236    0    0 108245 64025 485745 1062231 46 12 34  7  0
32  3      0 256993424 129920 1195332    0    0 121823 64308 470070 1029011 45 12 34  9  0
29  5      0 256559296 135608 1215164    0    0 108291 67236 482136 1060805 47 12 34  8  0
42  1      0 256178128 139720 1232376    0    0 111381 96944 431233 952735 42 12 36 10  0
38  2      0 255766192 143708 1252356    0    0 117960 64392 468990 1040622 47 12 32  8  0
32  1      0 255354144 146624 1271696    0    0 100188 68180 479249 1069039 48 13 32  7  0
33  2      0 254959200 148576 1291248    0    0 113930 66117 488588 1035762 47 12 32  9  0
33  2      0 254585472 151252 1309372    0    0 107413 97432 449798 971065 44 11 34 10  0
51  3      0 254197840 154184 1329008    0    0 109533 62536 459668 1032984 49 12 32  8  0
54 10      0 253792736 155480 1349304    0    0 98267 65396 471873 1064598 49 13 31  7  0
45  3      0 253404864 156380 1368904    0    0 110084 62796 464269 1046402 48 12 31  8  0
51  1      0 253005952 157512 1389668    0    0 95567 65128 476948 1082466 51 13 30  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 41      0 252644128 158720 1408420    0    0 103127 96332 431664 976706 46 12 32 10  0
25  8      0 252251424 159336 1428672    0    0 94608 66529 472205 1065290 50 13 31  6  0
43  2      0 251852256 160060 1449780    0    0 94961 65596 472893 1071853 50 13 30  7  0
45 11      0 251466624 160452 1469236    0    0 94544 84752 445439 1008993 49 12 31  8  0
34  7      0 251124624 160960 1487020    0    0 93214 121944 395054 890824 45 10 32 13  0
19  4      0 250744688 161252 1506032    0    0 94814 73145 459614 1034091 49 12 32  8  0
45 18      0 250355824 161624 1525216    0    0 118473 66000 453567 1017228 46 12 33  9  0
31 12      0 249977504 161908 1543904    0    0 109526 70684 457103 1035074 49 12 31  8  0
19  4      0 249606368 162120 1564244    0    0 104382 72548 459569 1042300 49 12 30  8  0
39  3      0 249255952 162260 1582200    0    0 106295 104777 409713 933153 45 11 33 11  0
40  2      0 248889408 162268 1602816    0    0 103115 71552 451965 1024413 49 12 30  8  0
52  0      0 248534336 162604 1622108    0    0 108667 71204 453021 1036537 51 13 28  9  0
45  3      0 248154272 162612 1643736    0    0 89385 75336 473402 1079822 53 13 28  6  0
 2 40      0 247821456 162612 1662728    0    0 113978 82829 427133 976996 47 12 30 11  0
43  2      0 247481200 162612 1681512    0    0 103248 92388 411175 951380 47 12 32  9  0
37  4      0 247136224 162616 1701956    0    0 102698 73292 453380 1044396 51 13 28  9  0
25  3      0 246775520 162616 1722600    0    0 88929 74316 462784 1062956 52 13 29  7  0
50  2      0 246450880 162624 1742664    0    0 112006 70341 435499 1012552 52 12 27  9  0
54  5      0 246124640 162632 1761148    0    0 105485 102616 405410 935249 46 11 33 10  0
42  3      0 245776320 162716 1781384    0    0 81140 72824 463215 1072544 53 13 29  6  0
35  2      0 245428000 162792 1802412    0    0 103558 72800 443225 1029637 52 12 28  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
42  3      0 245083152 162792 1823100    0    0 96985 73120 446857 1040723 52 13 28  7  0
36  3      0 244747728 162792 1843364    0    0 96251 74029 446347 1037704 53 13 28  7  0
23 26      0 244406608 162812 1861532    0    0 88444 120580 389598 899493 46 10 33 11  0
37  0      0 244080320 162820 1881204    0    0 92038 98408 427250 976588 51 11 29 10  0
45  5      0 243762224 162820 1901032    0    0 104545 77689 434048 1010251 51 13 27  9  0
26  7      0 243421568 162824 1921204    0    0 100043 73424 443268 1019210 51 12 29  8  0
41  6      0 243097696 162824 1941252    0    0 75828 110020 427965 991965 51 11 30  8  0
45  3      0 242773552 163448 1961096    0    0 121033 76161 421942 983033 51 11 27 11  0
30  3      0 242435440 163456 1981548    0    0 111241 84765 423732 984356 51 12 28 10  0
44  5      0 242105872 163456 2002260    0    0 107299 85836 419044 984432 51 12 28  9  0
27  1      0 241793392 163476 2022916    0    0 98851 85873 408932 958236 50 12 30  8  0
43  1      0 241514912 163476 2038820    0    0 104899 119868 375248 873685 45 11 34 11  0
45  2      0 241200432 163488 2059272    0    0 106422 76257 424594 1001631 52 12 27  9  0
39  6      0 240877152 163488 2080088    0    0 89980 71832 442553 1046861 54 13 26  7  0
50  3      0 240548256 163488 2102176    0    0 80343 72744 449470 1075436 56 13 25  6  0
48  2      0 240222576 163488 2123980    0    0 84654 73488 438761 1042491 55 13 26  6  0
37  1      0 239943744 163504 2143152    0    0 106980 93293 390261 936859 50 11 29 10  0
36  2      0 239608944 163504 2165612    0    0 76112 63684 458023 1081594 57 14 25  4  0
50  3      0 239274096 163512 2188812    0    0 75414 63164 448780 1084434 58 14 24  4  0
51  0      0 238954272 163512 2210812    0    0 72608 61836 446667 1089023 58 14 24  4  0
50  8      0 238654256 163512 2231600    0    0 68086 97480 420200 1027917 55 13 26  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  2      0 238334496 163524 2252764    0    0 85885 78156 422919 1027258 56 12 25  7  0
49  5      0 238034272 163528 2274324    0    0 66800 88952 425716 1028221 57 12 25  6  0
49  3      0 237716032 163536 2295628    0    0 77724 66144 444001 1064055 56 14 25  5  0
51  3      0 237417888 163536 2316048    0    0 69635 97288 420074 1005789 53 13 29  6  0
39  1      0 237095568 163536 2338316    0    0 74116 63128 447465 1084985 58 14 24  4  0
42  3      0 236784032 163536 2360112    0    0 70555 61792 445567 1097631 59 14 23  4  0
34  0      0 236472896 163536 2383340    0    0 70210 63720 440429 1075772 58 14 24  4  0
60  2      0 236187936 163544 2404224    0    0 63493 97756 406386 1012119 55 13 26  6  0
47  2      0 235884608 163544 2426696    0    0 68328 63348 435825 1089946 60 13 23  4  0
45  2      0 235581504 163544 2449524    0    0 66738 62440 430578 1076872 60 13 23  4  0
44  4      0 235278464 163544 2472704    0    0 67602 63316 436330 1089103 60 13 23  4  0
47  2      0 234977376 163544 2495596    0    0 67029 63672 430742 1086684 61 14 22  4  0
51  2      0 234702672 163556 2516664    0    0 69231 97304 392453 999977 56 12 25  6  0
44  2      0 234414304 163556 2539500    0    0 79485 61208 416795 1049347 59 13 23  5  0
44  0      0 234122816 163556 2563112    0    0 64395 63304 421715 1072000 61 13 22  4  0
45  3      0 233825520 163556 2587012    0    0 65568 64404 423727 1065961 60 13 23  4  0
38  2      0 233563008 163556 2608128    0    0 58113 99740 388528 996050 56 12 26  5  0
38  1      0 233273696 163564 2631184    0    0 63484 63396 418767 1074948 62 13 22  4  0
38  0      0 232992032 163572 2653692    0    0 58727 85060 397764 1031658 60 13 22  5  0
42  0      0 232719296 163576 2676004    0    0 59239 87244 406162 1043540 61 13 22  5  0
42  2      0 232447920 163576 2696476    0    0 67411 101245 388211 981384 55 12 27  6  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
53  2      0 232157232 163576 2719548    0    0 65806 63544 425382 1085907 61 14 22  4  0
 2 19      0 231820256 163588 2739604    0    0 132310 59809 372774 941684 53 12 26  9  0
25 29      0 231467728 163592 2750888    0    0 244097 109368 217690 514678 31  6 41 22  0
15 25      0 231234352 163596 2767612    0    0 133577 137746 324951 776895 47  9 27 17  0
40  5      0 230974816 163600 2784608    0    0 139722 125021 315592 760030 46  9 28 16  0
46 12      0 230738704 163604 2801264    0    0 87539 154321 307909 761428 47  9 31 13  0
48  5      0 230519424 163604 2819996    0    0 102997 108881 344933 857237 54 10 24 12  0
30 11      0 230288384 163616 2838332    0    0 120080 99229 328986 843492 53 10 24 13  0
39 17      0 230030656 163616 2857240    0    0 139371 95968 327742 836186 53 10 24 13  0
56  2      0 229826144 163620 2876364    0    0 87586 105665 341114 858567 54 10 23 13  0
 3 44      0 229567680 163620 2894792    0    0 152288 100537 333758 835862 52 10 23 14  0
38  2      0 229380528 163624 2910256    0    0 92904 134037 250201 684779 46  8 32 13  0
51  4      0 229171664 163636 2929436    0    0 133707 107172 290162 800342 54 10 22 14  0
53  2      0 229004992 163640 2946936    0    0 183674 112202 272639 712735 46  9 27 19  0
53  2      0 228829984 163640 2969884    0    0 82392 95790 358574 960647 60 12 20  7  0
48  1      0 228683024 163684 2991576    0    0 83855 69220 415189 1015806 58 13 23  7  0
45  2      0 228420960 163688 3012296    0    0 86051 117168 408018 930621 50 11 30  9  0
 5 33      0 228436128 163708 3033808    0    0 79835 86569 435478 1017180 55 12 27  6  0
35 17      0 228154128 163712 3054988    0    0 95052 113760 375224 925034 53 11 27  9  0
52  4      0 227869856 163712 3077580    0    0 72694 84545 418370 1052826 58 13 24  5  0
55  2      0 227584400 163716 3100704    0    0 85912 71156 419225 1059932 58 13 24  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
59  2      0 227318144 163716 3122800    0    0 78223 94508 397862 1008301 56 12 25  7  0
47  3      0 227043808 163724 3146800    0    0 62708 73948 417992 1096178 61 14 21  4  0
49  2      0 226776000 163724 3170196    0    0 80545 73605 405306 1054664 59 13 22  6  0
47 12      0 226526512 163724 3192236    0    0 89138 72624 397000 1033998 58 13 23  6  0
59  0      0 226285424 163728 3214684    0    0 72036 112469 368727 958009 54 12 27  8  0
50  4      0 226026720 163728 3238648    0    0 57939 76544 409478 1086085 63 14 20  4  0
