procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 261280656  32744 1043476    0    1  1321  1911    0    0 25  5 64  6  0
 0 44      0 260869152  33228 1045352    0    0 435916 21857 28654 45347  3  1 63 33  0
26 20      0 260412464  43600 1056856    0    0 244331 68432 387536 742900 30  8 39 23  0
37 13      0 259950240  57996 1071672    0    0 155581 79081 445910 932464 36 10 39 14  0
37 22      0 259509792  72828 1088092    0    0 147044 80652 447520 960223 40 11 36 13  0
32  3      0 259053232  89192 1105752    0    0 138157 66997 469804 1009638 41 12 37 11  0
24  3      0 258623936 101384 1123440    0    0 142210 60652 462191 995654 42 11 36 10  0
34  4      0 258200416 109972 1141052    0    0 108142 94388 456625 986021 42 11 38 10  0
42  3      0 257770384 118616 1159840    0    0 125984 63344 479730 1041345 45 12 34  9  0
36 19      0 257336016 126820 1179008    0    0 108403 66896 486927 1068093 46 12 34  7  0
40  3      0 256916928 132536 1197656    0    0 121675 64709 477431 1047474 45 12 34  9  0
41  2      0 256519760 136228 1216044    0    0 98985 98716 451495 1000496 44 12 35 10  0
28  4      0 256107456 141992 1234904    0    0 118881 65044 469674 1036915 46 12 33  9  0
36  1      0 255696032 146528 1254616    0    0 117382 66012 466134 1036608 47 12 33  9  0
29  4      0 255286080 149540 1274348    0    0 116694 66588 468328 1041126 47 12 32  8  0
32  5      0 254890768 151184 1293572    0    0 113299 62308 468982 1055472 48 13 31  8  0
42  5      0 254508976 152160 1312476    0    0 93724 97881 444267 992653 46 12 34  9  0
50  1      0 254110560 154900 1332400    0    0 112643 63064 464170 1046291 48 13 31  8  0
47  4      0 253712896 155736 1352440    0    0 96245 65300 481620 1093214 50 14 30  6  0
45  3      0 253308032 157132 1372852    0    0 97132 63092 469563 1065963 49 13 31  6  0
55  2      0 252950048 158476 1391232    0    0 102055 96268 426129 970998 46 11 33  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
34  8      0 252556720 158960 1411616    0    0 95596 65872 472315 1073947 50 13 30  6  0
29  6      0 252165088 159576 1432560    0    0 101951 65352 457349 1025996 48 12 30 10  0
 8 17      0 251760112 160400 1452992    0    0 93101 71129 461404 1038346 49 12 28 10  0
39 11      0 251372736 160808 1471696    0    0 102040 88116 436724 987459 48 11 31 10  0
48  2      0 251027264 161632 1488360    0    0 105274 121388 392816 884641 42 10 34 13  0
43  4      0 250649440 162104 1507332    0    0 113777 71781 447007 1005546 47 12 32 10  0
30  8      0 250272736 162184 1527172    0    0 106166 71864 459423 1045647 49 12 30  8  0
41  4      0 249894400 162276 1546324    0    0 113667 70104 452479 1028793 49 13 30  9  0
38  0      0 249530688 162476 1566136    0    0 103818 72372 458633 1055757 51 13 29  8  0
22  4      0 249194736 162604 1584532    0    0 104654 105281 420902 961570 47 11 31 12  0
37  4      0 248809216 162620 1605908    0    0 91046 74608 469078 1076946 52 13 28  6  0
29  3      0 248468448 162624 1624876    0    0 116621 69200 439732 1016998 49 12 29  9  0
42  3      0 248102144 162640 1644872    0    0 108778 71544 444623 1031421 50 12 29  8  0
43  5      0 247778960 162748 1664076    0    0 81704 109645 428026 1000772 49 12 30  9  0
30  5      0 247420672 162748 1684556    0    0 100618 72900 450693 1046422 52 13 28  8  0
56  2      0 247078384 162756 1704696    0    0 125083 69144 420225 981396 50 12 28 10  0
30  4      0 246722928 162764 1725356    0    0 115637 69192 434546 1026882 52 12 27  9  0
48  9      0 246359024 162832 1746612    0    0 84006 71944 460324 1075049 53 13 28  6  0
23 26      0 246035744 162832 1765312    0    0 100977 107113 404662 942995 47 12 31 11  0
46  1      0 245687040 162832 1786004    0    0 98076 72360 453499 1059454 53 13 27  7  0
38  2      0 245339920 162832 1806700    0    0 99009 74252 442513 1022651 51 12 29  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  1      0 244979664 162912 1827664    0    0 98640 71228 443614 1040662 53 12 28  7  0
38  0      0 244657728 162932 1846624    0    0 89522 105445 398993 941525 48 11 30 11  0
46  4      0 244344960 162936 1866176    0    0 95775 93136 442946 991662 52 12 27  9  0
40  5      0 244022224 162936 1885940    0    0 91957 98420 434016 976932 52 11 27 10  0
33  1      0 243677616 162936 1905932    0    0 87216 78265 454695 1059421 53 13 28  7  0
35 20      0 243332096 162952 1925528    0    0 144029 70584 398811 957635 50 12 26 12  0
42  7      0 243045856 162956 1944688    0    0 91732 124981 394115 938782 49 11 28 11  0
39  2      0 242695040 162968 1964452    0    0 124611 82900 420770 974228 49 11 29 11  0
45  2      0 242376128 162976 1984816    0    0 101063 87621 430306 1012718 51 13 27  9  0
37  2      0 242067312 162980 2004036    0    0 111319 81821 416335 985276 51 12 28 10  0
45  7      0 241747376 162980 2024480    0    0 107671 77120 421519 998798 51 12 27  9  0
16  2      0 241450048 162980 2043500    0    0 85088 105576 402129 955449 50 11 31  8  0
48  3      0 241111136 162988 2065504    0    0 82639 73257 447908 1070017 56 13 25  6  0
