sysbench 1.0.11 (using bundled LuaJIT 2.1.0-beta2)

Running the test with following options:
Number of threads: 56
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

1,56,76.81,2615.66,1266.93,1027.51,321.22,943.16,0.00,0.00
2,56,2900.02,106386.47,61725.74,38861.69,5799.04,61.08,8.00,0.00
3,56,3331.07,120521.45,68598.40,45259.92,6663.14,38.94,10.00,0.00
4,56,3433.88,132571.26,77896.22,47808.29,6866.75,33.72,10.00,0.00
5,56,3529.09,131985.22,77568.89,47357.16,7059.17,34.33,15.00,0.00
6,56,3661.07,131857.54,74169.43,50365.97,7322.14,33.12,21.00,0.00
7,56,3363.01,123857.29,70845.16,46286.11,6726.02,39.65,16.00,0.00
8,56,3766.99,136938.81,78822.89,50582.93,7532.99,32.53,16.00,0.00
9,56,3752.92,143283.99,84141.23,51635.91,7506.84,31.94,9.00,0.00
10,56,3839.91,141837.79,82436.13,51721.83,7679.83,33.12,19.00,0.00
11,56,3535.11,131240.24,74848.42,49321.60,7070.23,33.72,9.00,0.00
12,56,3977.02,143031.64,81659.37,53418.24,7954.04,31.37,17.00,0.00
13,56,3955.01,152212.22,90344.13,53962.08,7906.01,31.37,14.00,0.00
14,56,4144.94,148449.89,84407.80,55748.21,8293.88,30.26,7.00,0.00
15,56,3975.01,149263.36,87693.21,53620.13,7950.02,31.94,14.00,0.00
16,56,3878.03,140988.17,81354.67,51877.43,7756.06,31.37,10.00,0.00
17,56,4128.99,153704.48,89395.70,56050.81,8257.97,30.81,18.00,0.00
18,56,4072.09,152946.45,89128.01,55674.26,8144.18,31.37,21.00,0.00
19,56,4091.95,151355.28,89194.99,53976.39,8183.91,31.37,13.00,0.00
20,56,3719.96,140971.61,83638.17,49893.51,7439.93,32.53,21.00,0.00
21,56,3947.09,146329.42,85244.99,53190.24,7894.18,32.53,13.00,0.00
22,56,4043.88,152003.53,88800.39,55116.38,8086.76,31.37,19.00,0.00
23,56,3795.95,141852.17,82780.93,51478.34,7592.90,33.12,22.00,0.00
24,56,3965.03,143910.98,83112.57,52871.36,7927.05,33.12,20.00,0.00
25,56,3495.08,129637.90,74910.67,47734.07,6993.16,35.59,18.00,0.00
26,56,3999.98,150506.36,88030.62,54475.77,7999.97,33.12,7.00,0.00
27,56,4132.99,153518.75,90687.85,54564.91,8265.99,32.53,13.00,0.00
28,56,4172.94,150268.68,86379.66,55543.14,8345.87,31.94,21.00,0.00
29,56,3876.13,144820.67,83168.68,53899.74,7752.25,31.94,12.00,0.00
30,56,3938.91,144219.66,83130.07,53211.77,7877.82,33.72,13.00,0.00
31,56,4161.94,154487.74,90454.67,55709.18,8323.88,31.37,13.00,0.00
32,56,4178.10,153326.65,89419.13,55551.32,8356.20,33.12,16.00,0.00
33,56,4134.93,151939.56,87310.60,56359.10,8269.87,31.94,15.00,0.00
34,56,3827.12,144357.66,85170.75,51532.66,7654.25,33.72,16.00,0.00
35,56,4221.83,156586.78,90497.40,57645.71,8443.66,31.37,16.00,0.00
36,56,4191.04,157200.43,94183.86,54634.50,8382.08,31.94,18.00,0.00
37,56,4246.08,159103.08,93934.82,56677.10,8491.16,31.94,18.00,0.00
38,56,4144.00,156619.15,91449.09,56881.05,8289.01,31.94,16.00,0.00
39,56,3945.83,145415.89,85583.40,51940.82,7891.67,32.53,12.00,0.00
40,56,4163.13,157620.95,92944.92,56349.77,8326.26,31.37,18.00,0.00
41,56,4323.96,162638.42,93967.08,60023.42,8647.92,30.26,16.00,0.00
42,56,4194.92,154499.16,89091.36,57017.95,8389.85,31.94,15.00,0.00
43,56,3718.05,140411.00,83309.19,49665.71,7436.11,34.33,17.00,0.00
44,56,3747.01,136550.38,78318.22,50738.14,7494.02,34.95,20.00,0.00
45,56,3946.99,145823.53,83108.73,54820.82,7893.97,33.12,14.00,0.00
46,56,3932.12,152936.65,90682.76,54389.66,7864.24,34.33,16.00,0.00
47,56,4066.99,152798.48,91218.69,53445.82,8133.97,34.33,14.00,0.00
48,56,3914.01,149904.51,88438.30,53638.18,7828.03,32.53,14.00,0.00
49,56,4480.86,163677.88,95516.01,59200.15,8961.72,31.94,23.00,0.00
